R_ID,MRP_QS,MRP_FN,ASTRAL_QS,ASTRAL_FN,DCM2QFM_QS,DCM2QFM_FN,DCM5QFM_QS,DCM5QFM_FN,QFM_FN
1,10005775,0.08823529411764706,10018088,0.058823529411764705,9943647,0.058823529411764705,9943647,0.058823529411764705,0.058823529411764705
2,9966771,0.029411764705882353,9966771,0.029411764705882353,9966771,0.029411764705882353,9966771,0.029411764705882353,0.058823529411764705
3,10014042,0.029411764705882353,10021859,0.058823529411764705,10017156,0.08823529411764706,10021810,0.08823529411764706,0.08823529411764706
4,9894294,0.058823529411764705,9896186,0.029411764705882353,9892330,0.058823529411764705,9892330,0.058823529411764705,0.08823529411764706
5,10061041,0.08823529411764706,10066567,0.08823529411764706,10066125,0.058823529411764705,10066125,0.058823529411764705,0.058823529411764705
6,9965725,0.058823529411764705,9980371,0.0,9887624,0.029411764705882353,9887624,0.029411764705882353,0.0
7,10046094,0.058823529411764705,10046251,0.029411764705882353,10043117,0.058823529411764705,10043117,0.058823529411764705,0.058823529411764705
8,9923771,0.11764705882352941,9933142,0.08823529411764706,9839501,0.08823529411764706,9839501,0.08823529411764706,0.08823529411764706
9,10008918,0.029411764705882353,10021202,0.029411764705882353,10017325,0.0,10017325,0.0,0.029411764705882353
10,10086099,0.08823529411764706,10094873,0.029411764705882353,10094324,0.0,10094324,0.0,0.0
11,9963358,0.029411764705882353,9963358,0.029411764705882353,9875979,0.029411764705882353,9875979,0.029411764705882353,0.029411764705882353
12,9891247,0.029411764705882353,9909992,0.058823529411764705,9815377,0.058823529411764705,9815377,0.058823529411764705,0.029411764705882353
13,10083043,0.029411764705882353,10083043,0.029411764705882353,10083043,0.029411764705882353,10083043,0.029411764705882353,0.029411764705882353
14,10235750,0.058823529411764705,10239226,0.029411764705882353,10237882,0.0,10237882,0.0,0.0
15,10071839,0.029411764705882353,10071839,0.029411764705882353,10071839,0.029411764705882353,10071839,0.029411764705882353,0.029411764705882353
16,10003958,0.058823529411764705,10006573,0.058823529411764705,9892672,0.08823529411764706,9920714,0.029411764705882353,0.0
17,9924688,0.058823529411764705,9942686,0.058823529411764705,9942686,0.058823529411764705,9942686,0.058823529411764705,0.058823529411764705
18,9820897,0.058823529411764705,9835040,0.058823529411764705,9834528,0.029411764705882353,9834528,0.029411764705882353,0.029411764705882353
19,10054446,0.058823529411764705,10057419,0.08823529411764706,10053568,0.058823529411764705,10053568,0.058823529411764705,0.058823529411764705
20,9991756,0.029411764705882353,9994025,0.08823529411764706,9994025,0.08823529411764706,9994025,0.08823529411764706,0.08823529411764706
